stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
9792,Al Shamal Health Centre,26.1350422,51.2036588,0,,0,
9756,North Athba Turn,26.08412,51.28602,0,,0,
3068,Al Ghazali Street,25.3463389,51.4624785,0,,0,
9744,Ain Sinan Turn,26.0071931,51.3369538,0,,0,
9745,Fuwairit / Ain Sinan Turn,26.00768,51.33641,0,,0,
9764,Al Zughab,26.1057,51.23601,0,,0,
5110,Al Kharaitiyat Stop 1,25.3531866,51.4522325,0,,0,
9798,Abu Dhalouf,26.1266934,51.1829226,0,,0,
9727,Al Ghuwairiyah Turn,25.8469572,51.2699362,0,,0,
9768,Al Shamal Sports Club,26.1167112,51.2185289,0,,0,
7112,Tebah Petrol Station,25.3625763,51.4475628,0,,0,
9767,Umm Quaraiba Turn,25.9190114,51.1468174,0,,0,
9925,New Airport North,25.27927,51.57223,0,,0,
9917,Doha Sailing Club,25.28447,51.56071,0,,0,
9719,Al Dawoudiyah Turn,25.843387,51.305065,0,,0,
9715,Al Zubara Interchange,25.832333,51.3396984,0,,0,
9784,Al Ruwais,26.1400242,51.2142508,0,,0,
9713,Al Zubara Turn,25.82261,51.3501,0,,0,
4518,Family Food Center,25.2612505,51.5587242,0,,0,
9002, Ezdan Mall,25.1699512,51.5884082,0,,0,
5195,Al Gharafa Village 2,25.33281,51.44687,0,,0,
9968,Sha Safa Saloon,25.1561,51.59953,0,,0,
8586,Al Shahaniya Coop,25.367103,51.228307,0,,0,
8587,Al Shahaniya Coop,25.366804,51.228121,0,,0,
7137,House 11,25.3990497,51.4236401,0,,0,
9477,Al Sakhama Street,25.46854,51.40794,0,,0,
9473,Umm Slal Ali Turn,25.4537209,51.4090811,0,,0,
7111,North Road Stop 1,25.3533968,51.4532893,0,,0,
2033,Al Bayraq Street,25.3087779,51.5046885,0,,0,
9716,Al Waab Turn,25.85267,51.3485,0,,0,
9770,Al Shamal Stop 1,26.12261,51.21075,0,,0,
9581,MMUP Al Khor,25.7337184,51.5409063,0,,0,
9577,Al Khor Community Turn,25.72636,51.52901,0,,0,
9533,Al Thakhira Road Stop 2,25.693731,51.501038,0,,0,
9511,Mowasalat Accomodation,25.662462,51.468243,0,,0,
9540,Ras Laffan Road (East),25.7153159,51.5072151,0,,0,
9544,Ras Laffan Road (West),25.7189479,51.502371,0,,0,
9548,Industrial Area E W 1,25.7195327,51.4977764,0,,0,
9552,Industrial Area N S 3,25.7164758,51.4966472,0,,0,
9556,Industrial Area N S 7,25.7129283,51.5014001,0,,0,
9560,Industrial Area E W 2,25.71493,51.50527,0,,0,
9561,North Hospital,25.71485,51.51746,0,,0,
3345,Qurtuba Stop 1,25.3307461,51.5013759,0,,0,
6441,Al Taqadum Stop 1,25.3249185,51.5089317,0,,0,
9740,Al Marrouna Turn,25.9836198,51.3386812,0,,0,
9772,Al Shamal Stop 2,26.12739,51.20609,0,,0,
9778,Al Shamal Stop 3,26.12497,51.19822,0,,0,
7114,Doha Driving Centre,25.36733,51.44514,0,,0,
7124,Al Kharaitiyat Stop 2,25.38782,51.43223,0,,0,
7132,Al Kharaitiyat,25.3955872,51.4265128,0,,0,
7136,Al Islah Street,25.3991853,51.4236428,0,,0,
7140,Gulf Lady Beauty Saloon,25.40166,51.42068,0,,0,
8594,Zekreet Industrial Area,25.4473948,50.8782854,0,,0,
8593,Zekreet Industrial Area,25.44777,50.87876,0,,0,
5616,Al Joudi Street,25.249931,51.4895313,0,,0,
7117,Al Kharaitiyat Street Stop 1,25.3745099,51.4388965,0,,0,
8595,Dukhan Petrol Station,25.4202535,50.792452,0,,0,
2125,Athletes Village,25.30007,51.50758,0,,0,
9012,Al Muftha,25.1621246,51.5652474,0,,0,
9013,Al Muftha Garage,25.1618357,51.5652018,0,,0,
4823,Control Tower,25.2572335,51.5622245,0,,0,
4819,Family Food Center,25.2613888,51.5589469,0,,0,
4853,Qatar Airways ,25.265339,51.5542818,0,,0,
2715,Al Meeara Coop,25.2699755,51.5480437,0,,0,
55103, Beverly Hills Garden Stop 2,25.25225,51.45808,0,,0,
3169,Al Ghazali Street,25.34598,51.46231,0,,0,
9470,Umm Slal Health Centre,25.4424975,51.4093842,0,,0,
9460,Al Jaber Auto Electrical,25.421208,51.4062541,0,,0,
3165,Al Duhail,25.346222,51.4681755,0,,0,
9462,Al Majda Stop 1,25.4303187,51.4075013,0,,0,
9466,Abu Fesseela Street,25.4337874,51.4118384,0,,0,
3161,Rawdat Umm Lekba Street,25.3413908,51.470839,0,,0,
9500,Al Khor Road,25.62912,51.42028,0,,0,
7128,Al Telal Street,25.3921126,51.4293023,0,,0,
9504,Al Khor Gardens,25.63877,51.43087,0,,0,
5159,Excear Pharmacy,25.35647,51.43849,0,,0,
9508,Umm Suwaiyah,25.65252,51.45638,0,,0,
5105,Al Gharafa Stadium,25.346751,51.4449342,0,,0,
5103,Al Maszhabiya Stop 2,25.342029,51.4500626,0,,0,
7197,Al Wasmi Street,25.39125,51.42392,0,,0,
7199,Al Kharaitiyat (Terminus),25.3950614,51.4296429,0,,0,
8376,QNCC,25.0256883,51.189597,0,,0,
7061,Al Duhail Girls School,25.3974784,51.4461378,0,,0,
7025,Jerman Nermaiyah North,25.37361,51.47146,0,,0,
6037,QNH Building,25.3140262,51.522678,0,,0,
9733,Al Juthay Turn,25.95125,51.34064,0,,0,
7144,Kilometer 7.6,25.4053128,51.4177634,0,,0,
7148,Power Phone,25.4104031,51.4137294,0,,0,
6354,Samsung Tower,25.3182559,51.5242713,0,,0,
7152,Federal Trading,25.4119778,51.4085339,0,,0,
7156,Umm Slal Mohammed,25.415888,51.4064257,0,,0,
88329,Abu Nakhla Stop 6,25.185065,51.382242,0,,0,
8632,Al Sinnah Turn,25.55355,51.15318,0,,0,
8640,Al Jemailiyah Hospital,25.60927,51.09276,0,,0,
8660,Al Rufayq Turn,25.51503,51.00521,0,,0,
8664,Al Kozan Turn,25.47472,50.94168,0,,0,
7004,Arab League Street 01,25.34106,51.48146,0,,0,
7005,Arab League Street 02,25.34071,51.48137,0,,0,
7008,Al Khafji Street 01,25.34568,51.47993,0,,0,
7009,Al Khafji Street 02,25.34761,51.479,0,,0,
88327,Abu Nakhla Stop 7,25.190086,51.378745,0,,0,
55633,Juton Paints,25.22493,51.45037,0,,0,
7077,Al Kheesa Village,25.4123364,51.4573314,0,,0,
7081,Al Kheesa Terminus,25.4181992,51.4579456,0,,0,
6028,National Theatre,25.305271,51.5179372,0,,0,
5654, Cambridge School,25.2454824,51.5060805,0,,0,
5676,Mannai Accommodation,25.24007,51.47858,0,,0,
5665,Bajegiri School,25.23882,51.50714,0,,0,
5680,Al Bakhri Camp,25.23601,51.4822,0,,0,
5623,Wadi Al Qura Street,25.2424498,51.4950077,0,,0,
1312,Qatar Autimobile Company,25.2810937,51.5228658,0,,0,
5587,Muaither South Stop 2,25.2494294,51.4178332,0,,0,
5567,Jaafar Al Tayyar Stop 1,25.2540314,51.4476164,0,,0,
5559,Al Aziziyah,25.2489418,51.4520072,0,,0,
5553,The Souq,25.2461471,51.4564972,0,,0,
5600,Enertich Safety Training School,25.2502561,51.4971729,0,,0,
5622,Wadi Al Qura Street,25.2416583,51.4951103,0,,0,
5626,Abu Hamour Petrol Station,25.2370049,51.49908,0,,0,
5442,Qatar Primary Dental Center,25.2713483,51.480055,0,,0,
5436,Les Roses,25.2641322,51.4619367,0,,0,
5657,Cambridge School,25.24532,51.50619,0,,0,
5568,Al Sailiya Stop 2,25.2385025,51.4068495,0,,0,
